concept_index,concept_name,layer_index,layer_name,cav_sensitivity,training_step
4,random_observation,0,conv2d,0.0,120000
5,enemy_close_to_agent,0,conv2d,0.0,120000
6,avocado_visible,0,conv2d,0.04500000000000004,120000
7,agent_close_to_avocado,0,conv2d,0.015000000000000013,120000
8,enemy_within_3_left,0,conv2d,0.0,120000
9,enemy_within_3_right,0,conv2d,0.02749999999999997,120000
10,enemy_within_3_up,0,conv2d,0.040000000000000036,120000
11,enemy_within_3_down,0,conv2d,0.0024999999999999467,120000
12,enemy_2_steps_left,0,conv2d,0.012499999999999956,120000
13,enemy_2_steps_right,0,conv2d,0.03500000000000003,120000
14,enemy_2_steps_up,0,conv2d,0.03749999999999998,120000
15,enemy_2_steps_down,0,conv2d,0.0,120000
16,enemy_1_step_left,0,conv2d,0.012499999999999956,120000
17,enemy_1_step_right,0,conv2d,0.0,120000
18,enemy_1_step_up,0,conv2d,0.01749999999999996,120000
19,enemy_1_step_down,0,conv2d,0.0,120000
20,agent_against_left_wall,0,conv2d,0.09499999999999997,120000
21,agent_against_right_wall,0,conv2d,0.245,120000
22,agent_against_upper_wall,0,conv2d,0.13749999999999996,120000
23,agent_against_bottom_wall,0,conv2d,0.16749999999999998,120000
0,avo_above_agent,1,conv2d_1,0.04249999999999998,120000
1,avo_right_of_agent,1,conv2d_1,0.0,120000
2,avo_below_agent,1,conv2d_1,0.015000000000000013,120000
3,avo_left_of_agent,1,conv2d_1,0.01749999999999996,120000
4,random_observation,1,conv2d_1,0.02749999999999997,120000
5,enemy_close_to_agent,1,conv2d_1,0.012499999999999956,120000
6,avocado_visible,1,conv2d_1,0.015000000000000013,120000
7,agent_close_to_avocado,1,conv2d_1,0.0,120000
8,enemy_within_3_left,1,conv2d_1,0.05500000000000005,120000
9,enemy_within_3_right,1,conv2d_1,0.0,120000
10,enemy_within_3_up,1,conv2d_1,0.020000000000000018,120000
11,enemy_within_3_down,1,conv2d_1,0.05500000000000005,120000
12,enemy_2_steps_left,1,conv2d_1,0.10999999999999999,120000
13,enemy_2_steps_right,1,conv2d_1,0.057499999999999996,120000
14,enemy_2_steps_up,1,conv2d_1,0.03249999999999997,120000
15,enemy_2_steps_down,1,conv2d_1,0.022499999999999964,120000
16,enemy_1_step_left,1,conv2d_1,0.09999999999999998,120000
17,enemy_1_step_right,1,conv2d_1,0.012499999999999956,120000
18,enemy_1_step_up,1,conv2d_1,0.010000000000000009,120000
19,enemy_1_step_down,1,conv2d_1,0.10750000000000004,120000
20,agent_against_left_wall,1,conv2d_1,0.125,120000
21,agent_against_right_wall,1,conv2d_1,0.08750000000000002,120000
22,agent_against_upper_wall,1,conv2d_1,0.16000000000000003,120000
23,agent_against_bottom_wall,1,conv2d_1,0.12250000000000005,120000
0,avo_above_agent,2,flatten,0.030000000000000027,120000
1,avo_right_of_agent,2,flatten,0.0,120000
2,avo_below_agent,2,flatten,0.03749999999999998,120000
3,avo_left_of_agent,2,flatten,0.007499999999999951,120000
4,random_observation,2,flatten,0.012499999999999956,120000
5,enemy_close_to_agent,2,flatten,0.020000000000000018,120000
6,avocado_visible,2,flatten,0.0,120000
7,agent_close_to_avocado,2,flatten,0.0,120000
8,enemy_within_3_left,2,flatten,0.022499999999999964,120000
9,enemy_within_3_right,2,flatten,0.0024999999999999467,120000
10,enemy_within_3_up,2,flatten,0.04500000000000004,120000
11,enemy_within_3_down,2,flatten,0.012499999999999956,120000
12,enemy_2_steps_left,2,flatten,0.04249999999999998,120000
13,enemy_2_steps_right,2,flatten,0.0050000000000000044,120000
14,enemy_2_steps_up,2,flatten,0.04500000000000004,120000
15,enemy_2_steps_down,2,flatten,0.07250000000000001,120000
16,enemy_1_step_left,2,flatten,0.007499999999999951,120000
17,enemy_1_step_right,2,flatten,0.10250000000000004,120000
18,enemy_1_step_up,2,flatten,0.08499999999999996,120000
19,enemy_1_step_down,2,flatten,0.10250000000000004,120000
20,agent_against_left_wall,2,flatten,0.14500000000000002,120000
21,agent_against_right_wall,2,flatten,0.10750000000000004,120000
